R(namespacestring,is,Datatype)
R(CHEBI_60871,is,Class)
R(CHEBI_60871,SubClassOf,CDNO_0000012)
R(CHEBI_61266,is,Class)
R(CHEBI_61266,SubClassOf,CDNO_0000008,)
R(CHEBI_61266,SubClassOf,CHEBI_18154)
R(CHEBI_6178,is,Class)
R(CHEBI_6178,SubClassOf,CHEBI_22599)
R(CHEBI_62967,is,Class)
R(CHEBI_62967,SubClassOf,CDNO_0000008,)
R(CHEBI_62967,SubClassOf,CHEBI_18154)
R(CHEBI_63017,is,Class)
R(CHEBI_63017,SubClassOf,CHEBI_38700)
R(CHEBI_6359,is,Class)
R(CHEBI_6359,SubClassOf,CHEBI_36233)
R(CHEBI_63798,is,Class)
R(CHEBI_63798,SubClassOf,CHEBI_24676)
R(CHEBI_64482,is,Class)
R(CHEBI_64482,SubClassOf,CHEBI_16247,)
R(CHEBI_64482,SubClassOf,CHEBI_190516)
R(CHEBI_6457,is,Class)
R(CHEBI_6457,SubClassOf,CDNO_0000005,)
R(CHEBI_6457,SubClassOf,CHEBI_26004)
R(CHEBI_64709,is,Class)
R(CHEBI_64709,SubClassOf,CDNO_0000001)
R(CHEBI_64962,is,Class)
R(CHEBI_64962,SubClassOf,CHEBI_24279)
R(CHEBI_65004,is,Class)
R(CHEBI_65004,SubClassOf,CHEBI_26195)
R(CHEBI_65327,is,Class)
R(CHEBI_65327,SubClassOf,CHEBI_18222)
R(CHEBI_6570,is,Class)
R(CHEBI_6570,SubClassOf,CHEBI_15889)
R(CHEBI_65737,is,Class)
R(CHEBI_65737,SubClassOf,CHEBI_26195)
R(CHEBI_6650,is,Class)
R(CHEBI_6650,SubClassOf,CHEBI_64709)
R(CHEBI_6674,is,Class)
R(CHEBI_6674,SubClassOf,CHEBI_47916)
R(CHEBI_6698,is,Class)
R(CHEBI_6698,SubClassOf,CHEBI_26195)
R(CHEBI_67016,is,Class)
R(CHEBI_67016,SubClassOf,CHEBI_176842)
R(CHEBI_67244,is,Class)
R(CHEBI_67244,SubClassOf,CHEBI_33853)
R(CHEBI_67246,is,Class)
R(CHEBI_67246,SubClassOf,CHEBI_33853)
R(CHEBI_68329,is,Class)
R(CHEBI_68329,SubClassOf,CHEBI_24676)
R(CHEBI_68428,is,Class)
R(CHEBI_68428,SubClassOf,CHEBI_26191)
R(CHEBI_68465,is,Class)
R(CHEBI_68465,SubClassOf,CHEBI_24676)
R(CHEBI_69581,is,Class)
R(CHEBI_69581,SubClassOf,CHEBI_33853)
R(CHEBI_7044,is,Class)
R(CHEBI_7044,SubClassOf,CHEBI_36080)
R(CHEBI_70824,is,Class)
R(CHEBI_70824,SubClassOf,CHEBI_33853)
R(CHEBI_71045,is,Class)
R(CHEBI_71045,SubClassOf,CHEBI_26195)
R(CHEBI_71062,is,Class)
R(CHEBI_71062,SubClassOf,CHEBI_33853)
R(CHEBI_71230,is,Class)
R(CHEBI_71230,SubClassOf,CHEBI_47916)
R(CHEBI_71543,is,Class)
R(CHEBI_71543,SubClassOf,CHEBI_50753)
R(CHEBI_71971,is,Class)
R(CHEBI_71971,SubClassOf,CHEBI_72544)
R(CHEBI_72544,is,Class)
R(CHEBI_72572,is,Class)
R(CHEBI_72572,SubClassOf,CHEBI_50753)
R(CHEBI_72577,is,Class)
R(CHEBI_72577,SubClassOf,CHEBI_50753)
R(CHEBI_73224,is,Class)
R(CHEBI_73224,SubClassOf,CHEBI_52221)
R(CHEBI_73558,is,Class)
R(CHEBI_73558,SubClassOf,CHEBI_27300)
R(CHEBI_74957,is,Class)
R(CHEBI_74957,SubClassOf,CHEBI_38755)
R(CHEBI_74961,is,Class)
R(CHEBI_74961,SubClassOf,CDNO_0000006,)
R(CHEBI_74961,SubClassOf,CHEBI_50699)
R(CHEBI_7502,is,Class)
R(CHEBI_7502,SubClassOf,CHEBI_28412)
R(CHEBI_75314,is,Class)
R(CHEBI_75314,SubClassOf,CHEBI_47916)
R(CHEBI_75323,is,Class)
R(CHEBI_75323,SubClassOf,CHEBI_26191)
R(CHEBI_75769,is,Class)
R(CHEBI_75769,SubClassOf,CDNO_0000014)
R(CHEBI_76193,is,Class)
R(CHEBI_76193,SubClassOf,CHEBI_26195)
R(CHEBI_78320,is,Class)
R(CHEBI_78320,SubClassOf,CHEBI_64709)
R(CHEBI_78802,is,Class)
R(CHEBI_78802,SubClassOf,CHEBI_72544)
R(CHEBI_7889,is,Class)
R(CHEBI_7889,SubClassOf,CHEBI_26873)
R(CHEBI_8186,is,Class)
R(CHEBI_8186,SubClassOf,CHEBI_22315)
R(CHEBI_83231,is,Class)
R(CHEBI_83231,SubClassOf,CHEBI_51149)
R(CHEBI_8367,is,Class)
R(CHEBI_8367,SubClassOf,CHEBI_22315)
R(CHEBI_83820,is,Class)
R(CHEBI_83820,SubClassOf,CHEBI_33709)
R(CHEBI_84048,is,Class)
R(CHEBI_84048,SubClassOf,CHEBI_36027)
R(CHEBI_8454,is,Class)
R(CHEBI_8454,SubClassOf,CHEBI_24279)
R(CHEBI_85533,is,Class)
R(CHEBI_85533,SubClassOf,CHEBI_22315)
R(CHEBI_85545,is,Class)
R(CHEBI_85545,SubClassOf,CDNO_0000012)
R(CHEBI_8630,is,Class)
R(CHEBI_8630,SubClassOf,CHEBI_26776)
R(CHEBI_86369,is,Class)
R(CHEBI_86369,SubClassOf,CHEBI_33853)
R(CHEBI_8824,is,Class)
R(CHEBI_8824,SubClassOf,CHEBI_26195)
R(CHEBI_88363,is,Class)
R(CHEBI_88363,SubClassOf,CHEBI_26195)
R(CHEBI_8870,is,Class)
R(CHEBI_8870,SubClassOf,CHEBI_26191)
R(CHEBI_89400,is,Class)
R(CHEBI_89400,SubClassOf,CHEBI_26125)
R(CHEBI_89634,is,Class)
R(CHEBI_89634,SubClassOf,CHEBI_72544)
R(CHEBI_90236,is,Class)
R(CHEBI_90236,SubClassOf,CHEBI_26873)
R(CHEBI_9045,is,Class)
R(CHEBI_9045,SubClassOf,CHEBI_50753)
R(CHEBI_9127,is,Class)
R(CHEBI_9127,SubClassOf,CHEBI_33853)
R(CHEBI_9151,is,Class)
R(CHEBI_9151,SubClassOf,CHEBI_24279)
R(CHEBI_9162,is,Class)
R(CHEBI_9162,SubClassOf,CHEBI_24279)
R(CHEBI_9188,is,Class)
R(CHEBI_9188,SubClassOf,CHEBI_22315)
R(CHEBI_9211,is,Class)
R(CHEBI_9211,SubClassOf,CHEBI_26873)
R(CHEBI_9228,is,Class)
R(CHEBI_9228,SubClassOf,CHEBI_26873)
R(CHEBI_9517,is,Class)
R(CHEBI_9517,SubClassOf,CHEBI_26873)
R(CHEBI_9577,is,Class)
R(CHEBI_9577,SubClassOf,CHEBI_26873)
R(CHEBI_9630,is,Class)
R(CHEBI_9630,SubClassOf,CHEBI_22315)
R(ENVO_01001571,is,Class)
R(ENVO_01001573,is,Class)
R(ENVO_01001575,is,Class)
R(ENVO_01001578,is,Class)
R(ENVO_01001583,is,Class)
R(ENVO_01001584,is,Class)
R(ENVO_01001587,is,Class)
R(ENVO_01001588,is,Class)
R(ENVO_01001589,is,Class)
R(ENVO_01001590,is,Class)
R(ENVO_01001591,is,Class)
R(ENVO_01001592,is,Class)
R(ENVO_01001593,is,Class)
R(ENVO_01001594,is,Class)
R(ENVO_01001596,is,Class)
R(ENVO_01001598,is,Class)
R(ENVO_01001604,is,Class)
R(ENVO_01001605,is,Class)
R(ENVO_01001626,is,Class)
R(ENVO_01001627,is,Class)
R(ENVO_01001699,is,Class)
R(ENVO_01001862,is,Class)
R(ENVO_02000090,is,Class)
R(ENVO_02000090,SubClassOf,CDNO_0000001)
R(IAO_0000002,is,Class)
R(IAO_0000124,is,Class)
R(PATO_0000001,is,Class)
R(Thing,is,www.w3.org/2002/07/#)
R(PATO_0001018,is,Class)
R(PATO_0001018,SubClassOf,PATO_0000001)
R(www.w3.org/2002/07/#,is,Class)
R(Q525,is,Class)
